File Name,Extension,File Type,Size,Path
a_room_of_ones_own,.jpg,image,35697,/home/dat-adi/Code/image-processing/case_studies/books/a_room_of_ones_own.jpg
war_and_peace,.jpg,image,35912,/home/dat-adi/Code/image-processing/case_studies/books/war_and_peace.jpg
one_hundred_years_of_solitude,.jpg,image,654421,/home/dat-adi/Code/image-processing/case_studies/books/one_hundred_years_of_solitude.jpg
mrs._dalloway,.jpg,image,45267,/home/dat-adi/Code/image-processing/case_studies/books/mrs._dalloway.jpg
the_lord_of_the_rings,.jpg,image,264075,/home/dat-adi/Code/image-processing/case_studies/books/the_lord_of_the_rings.jpg
bleak_house,.jpg,image,46465,/home/dat-adi/Code/image-processing/case_studies/books/bleak_house.jpg
huckleberry_finn,.jpg,image,39577,/home/dat-adi/Code/image-processing/case_studies/books/huckleberry_finn.jpg
northanger_abbey,.jpg,image,33451,/home/dat-adi/Code/image-processing/case_studies/books/northanger_abbey.jpg
anna_karenina,.jpg,image,28309,/home/dat-adi/Code/image-processing/case_studies/books/anna_karenina.jpg
harry_potter,.jpg,image,36675,/home/dat-adi/Code/image-processing/case_studies/books/harry_potter.jpg
tom_sawyer,.jpg,image,33295,/home/dat-adi/Code/image-processing/case_studies/books/tom_sawyer.jpg
the_hours,.jpg,image,54113,/home/dat-adi/Code/image-processing/case_studies/books/the_hours.jpg
the_complete_novels_of_sherlock_holmes,.jpg,image,42138,/home/dat-adi/Code/image-processing/case_studies/books/the_complete_novels_of_sherlock_holmes.jpg
hamlet_prince_of_denmark,.jpg,image,48798,/home/dat-adi/Code/image-processing/case_studies/books/hamlet_prince_of_denmark.jpg
